ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"1829","Codeforces Round 871 (Div. 4)","ICPC","FINISHED","false","8100","1683383700","59209726","1137.5","871","4","5/6/2023"
"1826","Codeforces Round 870 (Div. 2)","CF","FINISHED","false","7200","1683297300","59296126","1750","870","2","5/5/2023"
"1817","Codeforces Round 869 (Div. 1)","CF","FINISHED","false","8100","1682778900","59814526","2566.6666666666665","869","1","4/29/2023"
"1823","Codeforces Round 868 (Div. 2)","CF","FINISHED","false","7200","1682606100","59987326","1666.6666666666667","868","2","4/27/2023"
"1822","Codeforces Round 867 (Div. 3)","ICPC","FINISHED","false","8100","1682346900","60246526","1350","867","3","4/24/2023"
"1821","Educational Codeforces Round 147 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1682001300","60592126","1633.3333333333333","147","2","4/20/2023"
"1819","Codeforces Round 866 (Div. 1)","CF","FINISHED","false","7200","1681549500","61043926","2516.6666666666665","866","1","4/15/2023"
"1815","Codeforces Round 865 (Div. 1)","CF","FINISHED","false","8100","1681051500","61541926","2450","865","1","4/9/2023"
"1797","Codeforces Round 864 (Div. 2)","CF","FINISHED","false","7200","1680962700","61630726","1783.3333333333333","864","2","4/8/2023"
"1814","Educational Codeforces Round 146 (Rated for Div. 2)","ICPC","FINISHED","false","8100","1680791700","61801726","1916.6666666666667","146","2","4/6/2023"
"1811","Codeforces Round 863 (Div. 3)","ICPC","FINISHED","false","8100","1680618900","61974526","1550","863","3","4/4/2023"
"1805","Codeforces Round 862 (Div. 2)","CF","FINISHED","false","7200","1680446100","62147326","1828.5714285714287","862","2","4/2/2023"
"1808","Codeforces Round 861 (Div. 2)","CF","FINISHED","false","7200","1680080700","62512726","1942.857142857143","861","2","3/29/2023"
"1798","Codeforces Round 860 (Div. 2)","CF","FINISHED","false","7200","1679841300","62752126","1650","860","2","3/26/2023"
"1809","Educational Codeforces Round 145 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1679582100","63011326","1828.5714285714287","145","2","3/23/2023"
"1807","Codeforces Round 859 (Div. 4)","ICPC","FINISHED","false","8100","1679237700","63355726","1062.5","859","4","3/19/2023"
"1806","Codeforces Round 858 (Div. 2)","CF","FINISHED","false","8100","1679141100","63452326","1971.4285714285713","858","2","3/18/2023"
